year,student,inmate,budget_educ_ca,budget_educ_ca_fed,budget_education_total,budget_per_student,budget_cor_ca,budget_cor_ca_fed,budget_cor_total,budget_per_inmate,state_budget_student_ca,fed_budget_student,state_budget_inmates,fed_budget_inmate
2007-2008,6275469,171989,45423994,66797196,159614793,25.43471938,9858402,19014642,28873044,167.88,7.24,10.64,57.32,110.56
2008-2009,6252031,169323,46167458,68023341,114190799,18.26459258,10365159,11565954,21931113,129.52,7.38,10.88,61.22,68.31
2009-2010,6192121,166790,35653555,59637256,95290811,15.38904214,8233620,13187063,21420683,128.43,5.76,9.63,49.37,79.06
2010-2011,6217002,164018,36844236,57741226,94585462,15.21399897,8980291,12478968,21459259,130.83,5.93,9.29,54.75,76.08
2011-2012,6220993,149142,35765783,58243598,94009381,15.11163588,9845554,14089448,23935002,160.48,5.75,9.36,66.01,94.47
2012-2013,6226989,134599,38884243,61558547,100442790,16.13023405,8918589,10456658,19375247,143.95,6.24,9.89,66.26,77.69
2013-2014,6236672,134277,39785076,63115530,102900606,16.49928135,11168325,13554412,24722737,184.12,6.38,10.12,83.17,100.94
2014-2015,6235520,132514,45465167,69007304,114472471,18.35812747,11972278,13284930,25257208,190.60,7.29,11.07,90.35,100.25
2015-2016,6226737,128893,50539771,75954506,126494277,20.31469725,12656031,13537948,26193979,203.22,8.12,12.20,98.19,105.03
2016-2017,6228235,129500,51492956,79303159,130796115,21.00051058,13271740,14494936,27766676,214.41,8.27,12.73,102.48,111.93